2024-08-20 08:40:01 - CPU Usage: 6.2%, Memory Usage: 24.45%, Disk Usage: 76%
2024-08-20 08:45:01 - CPU Usage: 0%, Memory Usage: 24.45%, Disk Usage: 76%
2024-08-20 08:50:01 - CPU Usage: 0%, Memory Usage: 24.34%, Disk Usage: 76%
2024-08-20 08:55:01 - CPU Usage: 6.2%, Memory Usage: 24.34%, Disk Usage: 76%
2024-08-20 09:00:01 - CPU Usage: 6.2%, Memory Usage: 24.24%, Disk Usage: 76%
2024-08-20 09:05:01 - CPU Usage: 0%, Memory Usage: 20.86%, Disk Usage: 76%
2024-08-20 09:10:01 - CPU Usage: 0%, Memory Usage: 21.18%, Disk Usage: 76%
2024-08-20 09:15:01 - CPU Usage: 0%, Memory Usage: 22.66%, Disk Usage: 76%
2024-08-20 09:20:01 - CPU Usage: 6.2%, Memory Usage: 26.34%, Disk Usage: 76%
2024-08-20 09:25:01 - CPU Usage: 0%, Memory Usage: 22.02%, Disk Usage: 76%
2024-08-20 09:30:01 - CPU Usage: 6.2%, Memory Usage: 22.02%, Disk Usage: 76%
2024-08-20 09:35:01 - CPU Usage: 6.2%, Memory Usage: 22.02%, Disk Usage: 76%
2024-08-20 09:40:01 - CPU Usage: 6.2%, Memory Usage: 22.02%, Disk Usage: 76%
2024-08-20 09:45:01 - CPU Usage: 0%, Memory Usage: 22.66%, Disk Usage: 76%
2024-08-20 09:50:01 - CPU Usage: 0%, Memory Usage: 22.44%, Disk Usage: 76%
2024-08-20 09:55:01 - CPU Usage: 0%, Memory Usage: 22.44%, Disk Usage: 76%
2024-08-20 10:00:01 - CPU Usage: 6.2%, Memory Usage: 22.44%, Disk Usage: 76%
2024-08-20 10:05:01 - CPU Usage: 6.2%, Memory Usage: 22.44%, Disk Usage: 76%
2024-08-20 10:10:01 - CPU Usage: 6.2%, Memory Usage: 22.44%, Disk Usage: 76%
2024-08-20 10:15:01 - CPU Usage: 6.2%, Memory Usage: 22.44%, Disk Usage: 76%
2024-08-20 10:20:01 - CPU Usage: 0%, Memory Usage: 22.23%, Disk Usage: 76%
2024-08-20 10:25:01 - CPU Usage: 6.2%, Memory Usage: 22.13%, Disk Usage: 76%
2024-08-20 10:30:01 - CPU Usage: 0%, Memory Usage: 22.87%, Disk Usage: 76%
2024-08-20 10:35:01 - CPU Usage: 6.2%, Memory Usage: 22.76%, Disk Usage: 76%
2024-08-20 10:40:01 - CPU Usage: 6.2%, Memory Usage: 23.08%, Disk Usage: 76%
2024-08-20 10:45:01 - CPU Usage: 11.8%, Memory Usage: 23.29%, Disk Usage: 76%
2024-08-20 13:35:01 - CPU Usage: 6.2%, Memory Usage: 24.03%, Disk Usage: 76%
